level,state,district
state-lower,FL,34
state-lower,FL,35
state-lower,FL,36
state-lower,FL,37
state-lower,FL,38
state-lower,FL,39
state-lower,FL,40
state-lower,FL,41
state-lower,FL,42
state-lower,FL,43
state-lower,FL,44
state-lower,FL,45
state-lower,FL,46
state-lower,FL,47
state-lower,FL,48
state-lower,FL,49
state-lower,FL,50
state-lower,FL,51
state-lower,FL,52
state-lower,FL,53
state-lower,FL,54
state-lower,FL,55
state-lower,FL,56
state-lower,FL,57
state-lower,FL,58
state-lower,FL,59
state-lower,FL,60
state-lower,FL,61
state-lower,FL,62
state-lower,FL,63
state-lower,FL,64
state-lower,FL,65
state-lower,FL,66
state-lower,FL,67
state-lower,FL,68
state-lower,FL,69
state-lower,FL,70
state-lower,FL,71
state-lower,FL,72
state-lower,FL,73
state-lower,FL,74
state-lower,FL,75
state-lower,FL,76
state-lower,FL,77
state-lower,FL,78
state-lower,FL,79
state-lower,FL,80
state-lower,FL,81
state-lower,FL,82
state-lower,FL,83
state-lower,FL,84
state-lower,FL,85
state-lower,FL,86
state-lower,FL,87
state-lower,FL,88
state-lower,FL,89
state-lower,FL,90
state-lower,FL,91
state-lower,FL,92
state-lower,FL,93
state-lower,FL,94
state-lower,FL,95
state-lower,FL,96
state-lower,FL,97
state-lower,FL,98
state-lower,FL,99
state-lower,FL,100
state-lower,FL,101
state-lower,FL,102
state-lower,FL,103
state-lower,FL,104
state-lower,FL,105
state-lower,FL,106
state-lower,FL,107
state-lower,FL,108
state-lower,FL,109
state-lower,FL,110
state-lower,FL,111
state-lower,FL,112
state-lower,FL,113
state-lower,FL,114
state-lower,FL,115
state-lower,FL,116
state-lower,FL,117
state-lower,FL,118
state-lower,FL,119
state-lower,FL,120
state-lower,GA,1
state-lower,GA,2
state-lower,GA,3
state-lower,GA,4
state-lower,GA,5
state-lower,GA,6
state-lower,GA,7
state-lower,GA,8
state-lower,GA,9
state-lower,GA,10
state-lower,GA,11
state-lower,GA,12
state-lower,GA,13
state-lower,GA,14
state-lower,GA,15
state-lower,GA,16
state-lower,GA,17
state-lower,GA,18
state-lower,GA,19
state-lower,GA,20
state-lower,GA,21
state-lower,GA,22
state-lower,GA,23
state-lower,GA,24
state-lower,GA,25
state-lower,GA,26
state-lower,GA,27
state-lower,GA,28
state-lower,GA,29
state-lower,GA,30
state-lower,GA,31
state-lower,GA,32
state-lower,GA,33
state-lower,GA,34
state-lower,GA,35
state-lower,GA,36
state-lower,GA,37
state-lower,GA,38
state-lower,GA,39
state-lower,GA,40
state-lower,GA,41
state-lower,GA,42
state-lower,GA,43
state-lower,GA,44
state-lower,GA,45
state-lower,GA,46
state-lower,GA,47
state-lower,GA,48
state-lower,GA,49
state-lower,GA,50
state-lower,GA,51
state-lower,GA,52
state-lower,GA,53
state-lower,GA,54
state-lower,GA,55
state-lower,GA,56
state-lower,GA,57
state-lower,GA,58
state-lower,GA,59
state-lower,GA,60
state-lower,GA,61
state-lower,GA,62
state-lower,GA,63
state-lower,GA,64
state-lower,GA,65
state-lower,GA,66
state-lower,GA,67
state-lower,GA,68
state-lower,GA,69
state-lower,GA,70
state-lower,GA,71
state-lower,GA,72
state-lower,GA,73
state-lower,GA,74
state-lower,GA,75
state-lower,GA,76
state-lower,GA,77
state-lower,GA,78
state-lower,GA,79
state-lower,GA,80
state-lower,GA,81
state-lower,GA,82
state-lower,GA,83
state-lower,GA,84
state-lower,GA,85
state-lower,GA,86
